CMDLINE C:\Users\Vivian\anaconda3\python.exe .\test_memoryLeak.py
MEM 135.324219 1655270828.9659
MEM 135.359375 1655270829.0746
MEM 136.535156 1655270829.1843
MEM 136.722656 1655270829.2921
MEM 136.722656 1655270829.4017
MEM 136.722656 1655270829.5105
MEM 137.898438 1655270829.6191
MEM 137.898438 1655270829.7269
MEM 138.164062 1655270829.8366
MEM 138.164062 1655270829.9463
MEM 139.332031 1655270830.0550
MEM 139.332031 1655270830.1637
MEM 139.546875 1655270830.2724
MEM 139.546875 1655270830.3821
MEM 139.546875 1655270830.4899
MEM 140.722656 1655270830.5975
MEM 140.750000 1655270830.7052
MEM 141.007812 1655270830.8140
MEM 141.007812 1655270830.9227
MEM 142.183594 1655270831.0304
MEM 142.183594 1655270831.1381
MEM 142.359375 1655270831.2468
MEM 142.359375 1655270831.3565
MEM 142.359375 1655270831.4652
MEM 143.535156 1655270831.5720
MEM 144.773438 1655270831.6817
MEM 143.660156 1655270831.7903
MEM 143.660156 1655270831.8991
MEM 144.835938 1655270832.0078
MEM 144.835938 1655270832.1175
MEM 145.132812 1655270832.2262
MEM 145.132812 1655270832.3339
MEM 145.132812 1655270832.4416
MEM 146.308594 1655270832.5493
MEM 146.578125 1655270832.6580
MEM 146.578125 1655270832.7648
MEM 146.578125 1655270832.8735
MEM 147.753906 1655270832.9802
MEM 147.753906 1655270833.0879
MEM 147.914062 1655270833.1966
MEM 147.914062 1655270833.3063
MEM 149.089844 1655270833.4160
MEM 149.089844 1655270833.5247
MEM 149.253906 1655270833.6334
MEM 149.316406 1655270833.7411
MEM 149.316406 1655270833.8488
MEM 150.492188 1655270833.9566
MEM 150.492188 1655270834.0643
MEM 150.667969 1655270834.1740
MEM 150.667969 1655270834.2807
MEM 151.843750 1655270834.3904
MEM 151.843750 1655270834.4991
MEM 152.046875 1655270834.6068
MEM 152.046875 1655270834.7135
MEM 152.046875 1655270834.8222
MEM 153.222656 1655270834.9299
MEM 154.488281 1655270835.0377
MEM 153.359375 1655270835.1454
MEM 153.359375 1655270835.2540
MEM 154.535156 1655270835.3637
MEM 154.542969 1655270835.4725
MEM 154.675781 1655270835.5822
MEM 154.675781 1655270835.6899
