CMDLINE C:\Users\Vivian\anaconda3\python.exe .\test_memoryLeak.py
MEM 94.929688 1655271520.6868
MEM 94.960938 1655271520.7965
MEM 94.960938 1655271520.9043
MEM 95.007812 1655271521.0120
MEM 95.007812 1655271521.1187
MEM 95.007812 1655271521.2274
MEM 95.007812 1655271521.3371
MEM 96.199219 1655271521.4458
MEM 95.035156 1655271521.5535
MEM 95.035156 1655271521.6612
MEM 95.035156 1655271521.7689
MEM 95.035156 1655271521.8787
MEM 95.082031 1655271521.9873
MEM 95.082031 1655271522.0970
MEM 95.082031 1655271522.2068
MEM 95.082031 1655271522.3165
MEM 95.351562 1655271522.4262
MEM 95.351562 1655271522.5349
MEM 95.351562 1655271522.6436
MEM 95.351562 1655271522.7533
MEM 96.527344 1655271522.8630
MEM 95.351562 1655271522.9727
MEM 95.351562 1655271523.0814
MEM 95.351562 1655271523.1911
MEM 95.351562 1655271523.3008
MEM 95.437500 1655271523.4106
MEM 95.437500 1655271523.5192
MEM 95.437500 1655271523.6289
MEM 95.437500 1655271523.7387
MEM 95.437500 1655271523.8474
MEM 95.437500 1655271523.9571
MEM 95.437500 1655271524.0658
MEM 95.437500 1655271524.1755
MEM 96.636719 1655271524.2842
MEM 95.484375 1655271524.3939
MEM 95.484375 1655271524.5026
MEM 95.527344 1655271524.6113
MEM 95.675781 1655271524.7210
MEM 96.105469 1655271524.8287
MEM 96.109375 1655271524.9375
MEM 96.136719 1655271525.0472
MEM 96.171875 1655271525.1559
MEM 96.281250 1655271525.2646
MEM 96.281250 1655271525.3753
MEM 96.281250 1655271525.4840
MEM 96.363281 1655271525.5927
MEM 97.675781 1655271525.7014
MEM 96.527344 1655271525.8102
MEM 96.535156 1655271525.9198
MEM 95.242188 1655271526.0296
MEM 95.242188 1655271526.1382
MEM 95.585938 1655271526.2470
MEM 95.597656 1655271526.3567
MEM 95.632812 1655271526.4634
MEM 95.632812 1655271526.5711
MEM 95.640625 1655271526.6798
MEM 95.640625 1655271526.7875
MEM 95.675781 1655271526.8962
MEM 95.675781 1655271527.0029
MEM 95.675781 1655271527.1117
MEM 95.675781 1655271527.2213
MEM 95.675781 1655271527.3291
MEM 95.675781 1655271527.4388
MEM 95.742188 1655271527.5485
MEM 95.890625 1655271527.6562
MEM 95.890625 1655271527.7649
MEM 95.890625 1655271527.8746
MEM 95.902344 1655271527.9823
MEM 97.078125 1655271528.0910
MEM 95.925781 1655271528.1997
MEM 95.925781 1655271528.3075
MEM 95.949219 1655271528.4162
MEM 95.949219 1655271528.5249
MEM 95.949219 1655271528.6337
MEM 95.949219 1655271528.7433
MEM 95.984375 1655271528.8521
MEM 95.984375 1655271528.9618
MEM 95.988281 1655271529.0715
MEM 96.003906 1655271529.1812
MEM 96.003906 1655271529.2899
MEM 96.003906 1655271529.3976
MEM 97.179688 1655271529.5063
MEM 96.003906 1655271529.6160
MEM 96.003906 1655271529.7247
MEM 96.007812 1655271529.8334
MEM 96.007812 1655271529.9411
MEM 96.007812 1655271530.0508
MEM 96.007812 1655271530.1596
MEM 96.015625 1655271530.2692
MEM 96.015625 1655271530.3790
MEM 96.015625 1655271530.4867
MEM 96.023438 1655271530.5954
MEM 96.023438 1655271530.7051
MEM 96.050781 1655271530.8128
MEM 96.054688 1655271530.9235
MEM 96.054688 1655271531.0323
MEM 96.054688 1655271531.1409
MEM 96.054688 1655271531.2487
MEM 96.054688 1655271531.3584
MEM 96.078125 1655271531.4681
MEM 96.078125 1655271531.5768
MEM 96.078125 1655271531.6845
MEM 96.082031 1655271531.7932
MEM 96.082031 1655271531.9029
MEM 96.082031 1655271532.0106
MEM 96.082031 1655271532.1183
MEM 96.085938 1655271532.2280
MEM 97.281250 1655271532.3357
MEM 96.164062 1655271532.4445
MEM 96.164062 1655271532.5530
MEM 96.164062 1655271532.6608
MEM 96.164062 1655271532.7685
MEM 96.164062 1655271532.8762
MEM 96.164062 1655271532.9839
MEM 96.164062 1655271533.0926
MEM 96.164062 1655271533.2013
MEM 96.175781 1655271533.3100
MEM 96.175781 1655271533.4197
MEM 96.175781 1655271533.5284
MEM 96.175781 1655271533.6372
MEM 96.171875 1655271533.7449
MEM 96.417969 1655271533.8536
MEM 96.417969 1655271533.9623
MEM 96.417969 1655271534.0710
MEM 96.417969 1655271534.1787
MEM 96.578125 1655271534.2884
MEM 96.578125 1655271534.3971
MEM 96.578125 1655271534.5058
MEM 96.578125 1655271534.6145
MEM 96.640625 1655271534.7233
MEM 96.640625 1655271534.8320
MEM 96.640625 1655271534.9407
MEM 95.179688 1655271535.0504
MEM 95.179688 1655271535.1601
MEM 95.417969 1655271535.2688
MEM 95.441406 1655271535.3775
MEM 95.476562 1655271535.4872
MEM 95.476562 1655271535.5949
MEM 95.484375 1655271535.7026
MEM 95.484375 1655271535.8093
MEM 95.519531 1655271535.9180
MEM 95.519531 1655271536.0258
MEM 95.519531 1655271536.1335
MEM 95.519531 1655271536.2422
MEM 95.519531 1655271536.3519
MEM 95.519531 1655271536.4609
MEM 95.765625 1655271536.5696
MEM 95.765625 1655271536.6793
MEM 95.765625 1655271536.7861
MEM 95.765625 1655271536.8945
MEM 95.777344 1655271537.0042
MEM 95.792969 1655271537.1129
MEM 95.816406 1655271537.2227
MEM 95.816406 1655271537.3314
MEM 95.867188 1655271537.4400
MEM 95.867188 1655271537.5497
MEM 95.867188 1655271537.6584
MEM 95.867188 1655271537.7661
MEM 95.867188 1655271537.8738
MEM 95.867188 1655271537.9825
MEM 95.968750 1655271538.0912
MEM 95.992188 1655271538.1979
MEM 95.992188 1655271538.3057
MEM 95.992188 1655271538.4134
MEM 97.167969 1655271538.5211
MEM 95.992188 1655271538.6288
MEM 95.992188 1655271538.7365
MEM 96.019531 1655271538.8452
MEM 96.019531 1655271538.9519
MEM 96.082031 1655271539.0607
MEM 96.109375 1655271539.1684
MEM 96.109375 1655271539.2781
MEM 96.113281 1655271539.3878
MEM 96.136719 1655271539.4945
MEM 96.136719 1655271539.6032
MEM 96.144531 1655271539.7099
MEM 96.144531 1655271539.8186
MEM 96.144531 1655271539.9253
MEM 96.144531 1655271540.0331
MEM 96.144531 1655271540.1408
MEM 96.144531 1655271540.2495
MEM 96.144531 1655271540.3592
MEM 96.207031 1655271540.4679
MEM 96.207031 1655271540.5746
MEM 96.207031 1655271540.6853
MEM 96.207031 1655271540.7930
MEM 96.207031 1655271540.9017
MEM 96.207031 1655271541.0104
MEM 96.207031 1655271541.1182
MEM 96.210938 1655271541.2279
MEM 97.386719 1655271541.3356
MEM 96.210938 1655271541.4453
MEM 96.210938 1655271541.5530
MEM 96.210938 1655271541.6637
MEM 96.210938 1655271541.7724
MEM 96.210938 1655271541.8821
MEM 96.210938 1655271541.9898
MEM 96.210938 1655271542.0975
MEM 96.210938 1655271542.2072
MEM 96.210938 1655271542.3160
MEM 96.210938 1655271542.4257
MEM 96.210938 1655271542.5354
MEM 96.210938 1655271542.6441
MEM 96.437500 1655271542.7528
MEM 96.437500 1655271542.8625
MEM 96.437500 1655271542.9722
MEM 96.437500 1655271543.0809
MEM 96.562500 1655271543.1906
MEM 96.562500 1655271543.3003
MEM 96.562500 1655271543.4090
MEM 96.562500 1655271543.5157
MEM 96.562500 1655271543.6244
MEM 96.562500 1655271543.7342
MEM 96.562500 1655271543.8423
MEM 95.125000 1655271543.9520
MEM 95.125000 1655271544.0617
MEM 95.269531 1655271544.1714
MEM 95.269531 1655271544.2791
MEM 95.324219 1655271544.3888
MEM 95.324219 1655271544.4985
MEM 95.324219 1655271544.6072
MEM 95.351562 1655271544.7159
MEM 95.351562 1655271544.8257
MEM 95.351562 1655271544.9354
MEM 95.351562 1655271545.0441
MEM 95.351562 1655271545.1528
MEM 95.351562 1655271545.2605
MEM 95.375000 1655271545.3692
MEM 95.425781 1655271545.4779
MEM 95.425781 1655271545.5866
MEM 95.425781 1655271545.6953
MEM 95.425781 1655271545.8040
MEM 95.425781 1655271545.9137
MEM 95.445312 1655271546.0234
MEM 95.445312 1655271546.1321
MEM 95.464844 1655271546.2418
MEM 95.464844 1655271546.3515
MEM 95.464844 1655271546.4603
MEM 95.464844 1655271546.5680
MEM 95.464844 1655271546.6757
MEM 95.464844 1655271546.7844
MEM 95.531250 1655271546.8931
MEM 95.531250 1655271547.0018
MEM 95.550781 1655271547.1106
MEM 95.550781 1655271547.2192
MEM 96.726562 1655271547.3290
MEM 95.550781 1655271547.4376
MEM 95.550781 1655271547.5463
MEM 95.550781 1655271547.6531
MEM 95.550781 1655271547.7608
MEM 95.742188 1655271547.8685
MEM 95.742188 1655271547.9772
MEM 95.742188 1655271548.0859
MEM 95.742188 1655271548.1956
MEM 95.808594 1655271548.3043
MEM 95.824219 1655271548.4121
MEM 95.824219 1655271548.5217
MEM 95.824219 1655271548.6285
MEM 95.824219 1655271548.7372
MEM 95.824219 1655271548.8459
MEM 95.828125 1655271548.9556
MEM 95.828125 1655271549.0643
MEM 95.964844 1655271549.1740
MEM 95.964844 1655271549.2807
MEM 95.964844 1655271549.3904
MEM 95.964844 1655271549.4982
MEM 95.964844 1655271549.6068
MEM 95.964844 1655271549.7165
MEM 95.964844 1655271549.8243
MEM 95.964844 1655271549.9310
MEM 95.964844 1655271550.0387
MEM 96.082031 1655271550.1484
MEM 96.082031 1655271550.2571
MEM 96.082031 1655271550.3668
MEM 96.082031 1655271550.4745
MEM 96.082031 1655271550.5823
MEM 96.082031 1655271550.6910
MEM 96.082031 1655271550.8013
MEM 96.082031 1655271550.9100
MEM 96.082031 1655271551.0177
MEM 96.082031 1655271551.1274
MEM 96.082031 1655271551.2342
MEM 96.078125 1655271551.3439
MEM 96.402344 1655271551.4525
MEM 96.406250 1655271551.5602
MEM 96.406250 1655271551.6700
MEM 96.406250 1655271551.7777
MEM 96.531250 1655271551.8844
MEM 96.531250 1655271551.9931
MEM 96.531250 1655271552.1028
MEM 96.531250 1655271552.2085
MEM 96.597656 1655271552.3172
MEM 96.597656 1655271552.4259
MEM 96.597656 1655271552.5347
MEM 95.121094 1655271552.6443
MEM 96.457031 1655271552.7541
MEM 95.324219 1655271552.8618
MEM 95.359375 1655271552.9715
MEM 95.359375 1655271553.0782
MEM 95.359375 1655271553.1869
MEM 95.378906 1655271553.2966
MEM 95.414062 1655271553.4053
MEM 95.414062 1655271553.5140
MEM 95.414062 1655271553.6238
MEM 95.414062 1655271553.7315
MEM 95.414062 1655271553.8412
MEM 95.421875 1655271553.9509
MEM 95.675781 1655271554.0596
MEM 95.683594 1655271554.1683
MEM 95.683594 1655271554.2770
MEM 95.683594 1655271554.3867
MEM 95.683594 1655271554.4944
MEM 95.707031 1655271554.6031
MEM 95.707031 1655271554.7098
MEM 95.734375 1655271554.8185
MEM 95.734375 1655271554.9283
MEM 95.738281 1655271555.0360
MEM 95.738281 1655271555.1447
MEM 95.738281 1655271555.2539
MEM 95.992188 1655271555.3616
MEM 96.042969 1655271555.4713
MEM 96.042969 1655271555.5790
MEM 96.042969 1655271555.6867
MEM 96.042969 1655271555.7965
MEM 96.042969 1655271555.9041
MEM 96.042969 1655271556.0138
