PublishDate,Score,Anti-Score,FinalScore
2017-08-23,405.0,-6.0,405.0
2017-08-24,33.0,12.0,33.0
2017-08-25,325.0,10.0,325.0
2017-08-26,104.0,0.0,104.0
2017-08-27,-6.0,6.0,-6.0
2017-08-28,54.0,2.0,54.0
2017-08-29,91.0,0.0,91.0
2017-08-30,536.0,4.0,536.0
2017-08-31,126.0,12.0,126.0
2017-09-01,390.0,16.0,390.0
2017-09-02,30.0,0.0,30.0
2017-09-03,0.0,0.0,0.0
2017-09-04,264.0,0.0,264.0
2017-09-05,45.0,0.0,45.0
2017-09-06,32.0,0.0,32.0
2017-09-07,158.0,0.0,158.0
2017-09-08,400.0,2.0,400.0
2017-09-09,37.0,0.0,37.0
2017-09-10,0.0,0.0,0.0
2017-09-11,91.0,0.0,91.0
2017-09-12,997.0,5.0,997.0
2017-09-13,38.0,11.0,38.0
2017-09-14,69.0,0.0,69.0
2017-09-15,70.0,0.0,70.0
2017-09-16,0.0,0.0,0.0
2017-09-17,-5.0,5.0,-5.0
2017-09-18,195.0,14.0,195.0
2017-09-19,187.0,2.0,187.0
2017-09-20,81.0,0.0,81.0
2017-09-21,481.0,0.0,481.0
2017-09-22,102.0,1.0,102.0
2017-09-23,44.0,0.0,44.0
2017-09-24,0.0,0.0,0.0
2017-09-25,42.0,0.0,42.0
2017-09-26,-3.0,0.0,-3.0
2017-09-27,140.0,0.0,140.0
2017-09-28,20.0,1.0,20.0
2017-09-29,674.0,4.0,674.0
2017-09-30,1182.0,0.0,1182.0
2017-10-01,0.0,0.0,0.0
2017-10-02,596.0,0.0,596.0
2017-10-03,844.0,0.0,844.0
2017-10-04,474.0,0.0,474.0
2017-10-05,882.0,0.0,882.0
2017-10-06,280.0,0.0,280.0
2017-10-07,218.0,0.0,218.0
2017-10-08,78.0,0.0,78.0
2017-10-09,87.0,0.0,87.0
2017-10-10,13.0,0.0,13.0
2017-10-11,1091.0,8.0,1091.0
2017-10-12,988.0,6.0,988.0
2017-10-13,697.0,0.0,697.0
