PublishDate,Score
2018-08-11,141
2018-08-12,0
2018-08-13,-104
2018-08-14,270
2018-08-15,90
2018-08-16,29
2018-08-17,36
2018-08-18,0
2018-08-19,0
2018-08-20,133
2018-08-21,307
2018-08-22,110
2018-08-23,228
2018-08-24,96
2018-08-25,0
2018-08-26,0
2018-08-27,173
2018-08-28,551
2018-08-29,704
2018-08-30,658
2018-08-31,328
2018-09-01,296
2018-09-02,50
2018-09-03,452
2018-09-04,270
2018-09-05,717
2018-09-06,335
2018-09-07,141
2018-09-08,0
2018-09-09,112
2018-09-10,298
2018-09-11,179
2018-09-12,88
2018-09-13,2
2018-09-14,183
2018-09-15,0
2018-09-16,73
2018-09-17,69
2018-09-18,-67
2018-09-19,484
2018-09-20,72
2018-09-21,123
2018-09-22,0
2018-09-23,0
2018-09-24,0
2018-09-25,77
2018-09-26,124
2018-09-27,496
2018-09-28,158
2018-09-29,0
2018-09-30,0
2018-10-01,462
2018-10-02,336
2018-10-03,-110
2018-10-04,445
2018-10-05,-121
2018-10-06,0
2018-10-07,39
2018-10-08,-51
2018-10-09,203
2018-10-10,264
2018-10-11,-8
2018-10-12,318
2018-10-13,0
2018-10-14,0
2018-10-15,467
2018-10-16,631
2018-10-17,310
2018-10-18,556
2018-10-19,639
2018-10-20,204
2018-10-21,383
2018-10-22,158
2018-10-23,-3
2018-10-24,136
2018-10-25,-267
2018-10-26,106
2018-10-27,0
2018-10-28,76
2018-10-29,171
2018-10-30,64
2018-10-31,2068
2018-11-01,196
2018-11-02,218
2018-11-03,158
2018-11-04,0
2018-11-05,0
2018-11-06,187
2018-11-07,180
2018-11-08,79
2018-11-09,121
2018-11-10,173
2018-11-11,0
2018-11-12,487
2018-11-13,134
2018-11-14,22
2018-11-15,-7
2018-11-16,88
2018-11-17,0
2018-11-18,2
2018-11-19,181
2018-11-20,-75
2018-11-21,169
2018-11-22,-49
2018-11-23,137
2018-11-24,0
2018-11-25,0
2018-11-26,342
2018-11-27,238
2018-11-28,265
2018-11-29,579
2018-11-30,40
2018-12-01,298
2018-12-02,0
2018-12-03,702
2018-12-04,182
2018-12-05,-219
2018-12-06,271
2018-12-07,216
2018-12-08,0
2018-12-09,0
2018-12-10,168
2018-12-11,320
2018-12-12,345
2018-12-13,238
2018-12-14,-80
2018-12-15,23
2018-12-16,-41
2018-12-17,27
2018-12-18,19
2018-12-19,286
2018-12-20,141
2018-12-21,123
2018-12-22,-25
2018-12-23,0
2018-12-24,155
2018-12-25,44
2018-12-26,19
2018-12-27,468
2018-12-28,256
2018-12-29,-24
2018-12-30,0
2018-12-31,0
2019-01-01,162
2019-01-02,26
2019-01-03,-80
2019-01-04,-878
2019-01-05,0
2019-01-06,-10
2019-01-07,97
2019-01-08,-36
2019-01-09,359
2019-01-10,260
2019-01-11,314
2019-01-12,-10
2019-01-13,232
2019-01-14,80
2019-01-15,193
2019-01-16,11
2019-01-17,386
2019-01-18,264
2019-01-19,79
2019-01-20,169
2019-01-21,401
2019-01-22,110
2019-01-23,13
2019-01-24,93
2019-01-25,493
2019-01-26,151
2019-01-27,0
2019-01-28,624
2019-01-29,-105
2019-01-30,50
2019-01-31,0
2019-02-01,0
2019-02-02,0
2019-02-03,0
2019-02-04,0
2019-02-05,0
2019-02-06,0
2019-02-07,0
2019-02-08,0
2019-02-09,0
2019-02-10,25
2019-02-11,855
2019-02-12,164
2019-02-13,375
2019-02-14,135
2019-02-15,-251
2019-02-16,20
2019-02-17,0
2019-02-18,459
2019-02-19,369
2019-02-20,900
2019-02-21,129
2019-02-22,105
2019-02-23,93
2019-02-24,233
2019-02-25,535
2019-02-26,218
2019-02-27,296
2019-02-28,0
2019-03-01,0
2019-03-02,0
2019-03-03,106
2019-03-04,74
2019-03-05,-66
2019-03-06,157
2019-03-07,34
2019-03-08,-82
2019-03-09,-19
2019-03-10,0
2019-03-11,144
2019-03-12,272
2019-03-13,248
2019-03-14,80
2019-03-15,73
2019-03-16,0
2019-03-17,0
2019-03-18,311
2019-03-19,144
2019-03-20,433
2019-03-21,203
2019-03-22,84
2019-03-23,33
2019-03-24,35
2019-03-25,52
2019-03-26,95
2019-03-27,64
2019-03-28,-82
2019-03-29,108
2019-03-30,0
2019-03-31,402
2019-04-01,458
2019-04-02,454
2019-04-03,626
2019-04-04,116
2019-04-05,97
2019-04-06,34
2019-04-07,25
2019-04-08,333
2019-04-09,52
2019-04-10,318
2019-04-11,17
2019-04-12,30
2019-04-13,0
2019-04-14,83
2019-04-15,640
2019-04-16,268
2019-04-17,1050
2019-04-18,433
2019-04-19,478
2019-04-20,107
2019-04-21,374
2019-04-22,119
2019-04-23,438
2019-04-24,819
2019-04-25,69
2019-04-26,-236
2019-04-27,31
2019-04-28,0
2019-04-29,-42
2019-04-30,166
2019-05-01,0
2019-05-02,660
2019-05-03,454
2019-05-04,330
2019-05-05,0
2019-05-06,155
2019-05-07,318
2019-05-08,-56
2019-05-09,-27
2019-05-10,85
2019-05-11,72
2019-05-12,0
2019-05-13,158
2019-05-14,128
2019-05-15,142
2019-05-16,-24
2019-05-17,-54
2019-05-18,98
2019-05-19,0
2019-05-20,-71
2019-05-21,4
