,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
525,2019-02-26,2330,24586789,5864298571,239.0,240.0,236.5,239.5,1.5,7994
526,2019-02-27,2330,37947889,9052540803,238.5,239.5,237.0,239.0,-0.5,9931
527,2019-03-04,2330,45164513,10691130829,239.5,239.5,234.5,235.5,-3.5,13323
528,2019-03-05,2330,23708407,5533050748,234.0,234.5,232.5,233.0,-2.5,8706
529,2019-03-06,2330,20811226,4872352124,235.0,235.5,233.5,234.0,1.0,7090
530,2019-03-07,2330,17226192,4029782428,235.0,235.0,233.0,234.0,0.0,5768
531,2019-03-08,2330,22535659,5183171608,231.0,231.5,229.0,230.0,-4.0,8931
532,2019-03-11,2330,34282793,7835079913,228.0,230.5,227.5,230.5,0.5,7451
533,2019-03-12,2330,23839972,5601351324,233.0,237.0,232.5,235.5,5.0,9253
534,2019-03-13,2330,22493195,5308051755,234.0,237.0,234.0,237.0,1.5,6269
535,2019-03-14,2330,17281356,4077045380,239.0,239.0,234.0,234.5,-2.5,6564
536,2019-03-15,2330,34542729,8231572752,237.0,239.5,235.5,239.0,4.5,8872
537,2019-03-18,2330,27040532,6493129050,239.5,241.0,239.0,241.0,2.0,10690
538,2019-03-19,2330,14620009,3496720720,239.0,240.5,238.0,240.5,-0.5,7105
539,2019-03-20,2330,23055971,5563557011,242.0,242.0,239.5,242.0,1.5,6757
540,2019-03-21,2330,27514502,6710510004,242.5,245.5,241.0,245.5,3.5,11071
541,2019-03-22,2330,22996467,5680726299,248.0,248.5,244.5,248.5,3.0,10485
542,2019-03-25,2330,19273254,4662705968,240.5,243.5,240.5,241.5,-7.0,8468
543,2019-03-26,2330,21053170,5109273236,243.0,244.0,241.0,244.0,2.5,6630
544,2019-03-27,2330,23622089,5703467700,242.0,242.5,240.5,241.5,-2.5,7603
545,2019-03-28,2330,13998054,3379510718,240.5,242.5,240.0,242.0,0.5,3948
546,2019-03-29,2330,31024810,7568601014,243.0,245.5,240.5,245.5,3.5,6712
547,2019-04-01,2330,35330656,8758161220,251.0,251.0,245.0,245.5,0.0,13292
548,2019-04-02,2330,25189053,6226523038,249.5,249.5,246.0,246.0,0.5,9171
549,2019-04-03,2330,28581323,7075597562,249.0,249.0,246.5,246.5,0.5,8067
550,2019-04-08,2330,46426821,11682512762,251.0,253.0,250.5,253.0,6.5,16430
551,2019-04-09,2330,22745674,5760337782,253.0,254.0,252.0,254.0,1.0,8323
552,2019-04-10,2330,33174934,8403528302,253.0,254.5,252.0,254.0,0.0,9992
553,2019-04-11,2330,25146840,6347861680,253.0,254.0,251.5,252.0,-2.0,8284
554,2019-04-12,2330,13888148,3496444666,251.5,253.0,251.0,252.0,0.0,4931
555,2019-04-15,2330,17257002,4403988510,255.0,256.0,254.0,255.5,3.5,6739
556,2019-04-16,2330,20231648,5185697928,257.0,257.0,255.5,257.0,1.5,7676
557,2019-04-17,2330,39037191,10202504410,260.0,263.0,259.5,261.5,4.5,13486
558,2019-04-18,2330,48525490,12836006732,264.0,266.0,263.5,264.5,3.0,12208
559,2019-04-19,2330,47698699,12712409558,269.0,269.5,263.5,264.5,0.0,14431
560,2019-04-22,2330,24967393,6635995145,266.5,267.5,265.0,266.0,1.5,8527
