modelName,score,rmse,spendTime,executionTime(s),startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size,machine,runProcess
rmseBeyond8,109.5093994140625,10.464650636253142,90.77831673622131,2022/06/19 20:30:45,2021-01-03,2021-01-17,200,123,67,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,232.9022674560547,15.261155149731364,87.35048055648805,2022/06/19 20:32:16,2021-01-03,2021-01-17,200,17,31,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,220.7678680419922,14.858255502023953,89.75205993652344,2022/06/19 20:33:51,2021-01-03,2021-01-17,200,33,129,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,613.8018798828125,24.774999783642958,90.49407744407654,2022/06/19 20:35:25,2021-01-03,2021-01-17,200,95,100,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,244.01095581054688,15.620856137279773,87.39536023139955,2022/06/19 20:36:57,2021-01-03,2021-01-17,200,19,56,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,403.5898742675781,20.08954553699881,87.43824529647827,2022/06/19 20:38:29,2021-01-03,2021-01-17,200,76,52,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,231.8149871826172,15.225477427583511,88.08352065086365,2022/06/19 20:40:01,2021-01-03,2021-01-17,200,117,11,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,383.53985595703125,19.584150754271864,86.9272105693817,2022/06/19 20:41:32,2021-01-03,2021-01-17,200,15,71,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,93.44005584716795,9.666453501437033,90.54226732254028,2022/06/19 20:43:07,2021-01-03,2021-01-17,200,85,91,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,179.0989532470703,13.382789973823463,86.87973880767822,2022/06/19 20:44:38,2021-01-03,2021-01-17,200,16,53,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,410.76953125,20.267468023014885,87.74143552780151,2022/06/19 20:46:10,2021-01-03,2021-01-17,200,18,60,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,217.2220916748047,14.738442816191235,88.67693519592285,2022/06/19 20:47:43,2021-01-03,2021-01-17,200,75,12,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,232.6901397705078,15.254194001769685,90.6167495250702,2022/06/19 20:49:18,2021-01-03,2021-01-17,200,86,126,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,186.3219757080078,13.649990831394312,86.98446369171144,2022/06/19 20:50:49,2021-01-03,2021-01-17,200,32,35,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,82.78575134277344,9.098657633895074,89.56555891036987,2022/06/19 20:52:23,2021-01-03,2021-01-17,200,142,64,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,219.6713409423828,14.8213335778163,90.67073440551758,2022/06/19 20:53:58,2021-01-03,2021-01-17,200,108,86,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,331.21533203125,18.199299519219025,92.2972559928894,2022/06/19 20:55:34,2021-01-03,2021-01-17,200,113,127,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,194.0284423828125,13.929383408264744,86.96750521659851,2022/06/19 20:57:05,2021-01-03,2021-01-17,200,30,84,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,258.5316772460937,16.078930718689822,90.44321346282959,2022/06/19 20:58:40,2021-01-03,2021-01-17,200,130,75,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,135.85824584960938,11.655815783964119,89.339524269104,2022/06/19 21:00:13,2021-01-03,2021-01-17,200,35,102,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,277.26553344726557,16.651295427008133,88.64386630058289,2022/06/19 21:01:46,2021-01-03,2021-01-17,200,62,10,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,229.3050537109375,15.142830488295743,88.97784543037416,2022/06/19 21:03:20,2021-01-03,2021-01-17,200,25,131,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,69.88982391357422,8.359985800246863,91.65347504615784,2022/06/19 21:04:55,2021-01-03,2021-01-17,200,101,88,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,488.25830078125,22.0965670558274,89.44787311553955,2022/06/19 21:06:29,2021-01-03,2021-01-17,200,87,37,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,188.0013427734375,13.711348016385989,88.40067291259766,2022/06/19 21:08:02,2021-01-03,2021-01-17,200,64,38,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,135.50492858886722,11.640670035726359,88.41663026809692,2022/06/19 21:09:35,2021-01-03,2021-01-17,200,97,17,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,155.27713012695312,12.461032272848431,91.49739503860474,2022/06/19 21:11:10,2021-01-03,2021-01-17,200,117,97,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,83.38618469238281,9.131602697338137,90.74845170974731,2022/06/19 21:12:45,2021-01-03,2021-01-17,200,101,113,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,146.6009979248047,12.1078687232625,92.07385349273682,2022/06/19 21:14:21,2021-01-03,2021-01-17,200,81,125,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,146.91529846191406,12.120854445350131,91.18418407440186,2022/06/19 21:15:57,2021-01-03,2021-01-17,200,133,71,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,170.7340545654297,13.06652192011841,87.68662095069885,2022/06/19 21:17:29,2021-01-03,2021-01-17,200,19,58,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,196.63206481933602,14.022556698573966,89.87672734260559,2022/06/19 21:19:03,2021-01-03,2021-01-17,200,89,81,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,301.9540710449219,17.376805672047293,88.85545659065247,2022/06/19 21:20:36,2021-01-03,2021-01-17,200,109,43,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,476.4611206054688,21.827978535980314,90.80985879898071,2022/06/19 21:22:11,2021-01-03,2021-01-17,200,18,91,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,170.19680786132812,13.045938902554512,87.88604927062988,2022/06/19 21:23:43,2021-01-03,2021-01-17,200,41,32,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
keras_7_39084.h5,54.62446975708008,7.390848736975357,103.11401534080505,2022/06/19 21:25:30,2021-01-03,2021-01-17,200,143,126,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,236.309814453125,15.372368573881335,94.47044634819031,2022/06/19 21:27:09,2021-01-17,2021-01-31,200,143,126,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,738.9100341796875,27.182888815228292,88.00033140182495,2022/06/19 21:28:41,2021-01-03,2021-01-17,200,25,19,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
