CMDLINE C:\Users\Vivian\anaconda3\python.exe .\package\Step-1_ANN_Two.py
MEM 916.285156 1655278917.5796
MEM 916.285156 1655278917.6889
MEM 916.285156 1655278917.7981
MEM 916.285156 1655278917.9061
MEM 916.539062 1655278918.0160
MEM 916.539062 1655278918.1237
MEM 916.539062 1655278918.2324
MEM 916.539062 1655278918.3419
MEM 916.539062 1655278918.4503
MEM 916.539062 1655278918.5604
MEM 916.539062 1655278918.6697
MEM 916.539062 1655278918.7795
MEM 916.539062 1655278918.8881
MEM 916.539062 1655278918.9973
MEM 916.539062 1655278919.1077
MEM 916.539062 1655278919.2179
MEM 916.792969 1655278919.3282
MEM 916.792969 1655278919.4364
MEM 916.792969 1655278919.5462
MEM 916.792969 1655278919.6557
MEM 916.792969 1655278919.7631
MEM 916.792969 1655278919.8727
MEM 917.046875 1655278919.9820
MEM 917.046875 1655278920.0911
MEM 917.046875 1655278920.1996
MEM 917.046875 1655278920.3102
MEM 917.046875 1655278920.4189
MEM 917.046875 1655278920.5285
MEM 917.046875 1655278920.6374
MEM 917.046875 1655278920.7486
MEM 917.046875 1655278920.8574
MEM 917.046875 1655278920.9653
MEM 917.046875 1655278921.0754
MEM 917.046875 1655278921.1850
MEM 917.046875 1655278921.2942
MEM 917.046875 1655278921.4030
MEM 917.046875 1655278921.5127
MEM 917.046875 1655278921.6233
MEM 917.046875 1655278921.7334
MEM 917.300781 1655278921.8428
MEM 917.300781 1655278921.9527
MEM 917.300781 1655278922.0639
MEM 917.300781 1655278922.1744
MEM 917.300781 1655278922.2827
MEM 917.300781 1655278922.3916
MEM 917.300781 1655278922.5010
MEM 917.300781 1655278922.6108
MEM 917.300781 1655278922.7196
MEM 917.554688 1655278922.8295
MEM 917.554688 1655278922.9371
MEM 917.554688 1655278923.0454
MEM 917.554688 1655278923.1556
MEM 917.554688 1655278923.2642
MEM 917.554688 1655278923.3728
MEM 917.554688 1655278923.4817
MEM 917.554688 1655278923.5911
MEM 917.808594 1655278923.7008
MEM 917.808594 1655278923.8109
MEM 917.808594 1655278923.9208
MEM 917.808594 1655278924.0297
MEM 917.808594 1655278924.1389
MEM 917.808594 1655278924.2486
MEM 917.808594 1655278924.3572
MEM 917.808594 1655278924.4662
MEM 917.808594 1655278924.5769
MEM 917.808594 1655278924.6855
MEM 917.808594 1655278924.7950
MEM 917.808594 1655278924.9051
MEM 917.808594 1655278925.0146
MEM 917.808594 1655278925.1259
MEM 917.808594 1655278925.2349
MEM 917.808594 1655278925.3440
MEM 917.808594 1655278925.4536
MEM 918.062500 1655278925.5644
MEM 918.062500 1655278925.6727
MEM 918.062500 1655278925.7821
MEM 918.316406 1655278925.8899
MEM 918.316406 1655278925.9982
MEM 918.316406 1655278926.1087
MEM 918.316406 1655278926.2199
MEM 918.316406 1655278926.3281
MEM 918.316406 1655278926.4370
MEM 918.316406 1655278926.5465
MEM 918.316406 1655278926.6558
MEM 918.316406 1655278926.7647
MEM 918.316406 1655278926.8743
MEM 918.316406 1655278926.9854
MEM 918.316406 1655278927.0949
MEM 918.316406 1655278927.2040
MEM 918.316406 1655278927.3139
MEM 918.316406 1655278927.4238
MEM 918.570312 1655278927.5350
MEM 918.570312 1655278927.6432
MEM 918.570312 1655278927.7518
MEM 918.570312 1655278927.8612
MEM 918.570312 1655278927.9711
MEM 918.570312 1655278928.0815
MEM 918.570312 1655278928.1889
MEM 918.570312 1655278928.2995
MEM 918.570312 1655278928.4101
MEM 918.570312 1655278928.5193
MEM 918.570312 1655278928.6278
